,INPUT_DESCRIPTION,MEASUREMENT_TIME,VALUE
2419,Battery Current Capacity (mWh),2020-11-20 08:55:23.319,55470
2420,Battery Voltage (mv),2020-11-20 08:55:23.319,16227
2421,Battery Rate (mW),2020-11-20 08:55:23.319,-10515
2422,Battery Tag,2020-11-20 08:55:53.251,5
2423,Battery Designed Capacity (mWh) ,2020-11-20 08:55:53.251,70000
2424,Battery Full Charged Capacity (mWh),2020-11-20 08:55:53.251,69720
2425,Battery Cycle Count,2020-11-20 08:55:53.251,12
2426,Battery Left (%).,2020-11-20 08:55:53.318,79
2427,Battery Flag,2020-11-20 08:55:53.318,1
2428,Battery Life Time (Seconds).,2020-11-20 08:55:53.318,16378
2429,Battery Charging.,2020-11-20 08:55:53.318,0
2430,Battery Discharging.,2020-11-20 08:55:53.318,1
2431,Battery MaxCapacity (mWh).,2020-11-20 08:55:53.318,69720
2432,Battery estimatedTime (Seconds).,2020-11-20 08:55:53.318,16378
2433,Battery Current Capacity (mWh),2020-11-20 08:55:53.318,55360
2434,Battery Voltage (mv),2020-11-20 08:55:53.318,16189
2435,Battery Rate (mW),2020-11-20 08:55:53.318,-11817
2436,Battery Tag,2020-11-20 08:56:23.251,5
2437,Battery Designed Capacity (mWh) ,2020-11-20 08:56:23.251,70000
2438,Battery Full Charged Capacity (mWh),2020-11-20 08:56:23.251,69720
2439,Battery Cycle Count,2020-11-20 08:56:23.251,12
2440,Battery Left (%).,2020-11-20 08:56:23.319,79
2441,Battery Flag,2020-11-20 08:56:23.319,1
2442,Battery Life Time (Seconds).,2020-11-20 08:56:23.319,16378
2443,Battery Charging.,2020-11-20 08:56:23.319,0
2444,Battery Discharging.,2020-11-20 08:56:23.319,1
2445,Battery MaxCapacity (mWh).,2020-11-20 08:56:23.319,69720
2446,Battery estimatedTime (Seconds).,2020-11-20 08:56:23.319,16378
2447,Battery Current Capacity (mWh),2020-11-20 08:56:23.319,55270
2448,Battery Voltage (mv),2020-11-20 08:56:23.319,16204
2449,Battery Rate (mW),2020-11-20 08:56:23.319,-10970
2450,Battery Tag,2020-11-20 08:56:53.251,5
2451,Battery Designed Capacity (mWh) ,2020-11-20 08:56:53.251,70000
2452,Battery Full Charged Capacity (mWh),2020-11-20 08:56:53.251,69720
2453,Battery Cycle Count,2020-11-20 08:56:53.251,12
2454,Battery Left (%).,2020-11-20 08:56:53.319,79
2455,Battery Flag,2020-11-20 08:56:53.319,1
2456,Battery Life Time (Seconds).,2020-11-20 08:56:53.319,16378
2457,Battery Charging.,2020-11-20 08:56:53.319,0
2458,Battery Discharging.,2020-11-20 08:56:53.319,1
2459,Battery MaxCapacity (mWh).,2020-11-20 08:56:53.319,69720
2460,Battery estimatedTime (Seconds).,2020-11-20 08:56:53.319,16378
2461,Battery Current Capacity (mWh),2020-11-20 08:56:53.319,55180
2462,Battery Voltage (mv),2020-11-20 08:56:53.319,16179
2463,Battery Rate (mW),2020-11-20 08:56:53.319,-11147
2464,Battery Tag,2020-11-20 08:57:23.251,5
2465,Battery Designed Capacity (mWh) ,2020-11-20 08:57:23.251,70000
2466,Battery Full Charged Capacity (mWh),2020-11-20 08:57:23.251,69720
2467,Battery Cycle Count,2020-11-20 08:57:23.251,12
2468,Battery Left (%).,2020-11-20 08:57:23.319,79
2469,Battery Flag,2020-11-20 08:57:23.319,1
2470,Battery Life Time (Seconds).,2020-11-20 08:57:23.319,16378
2471,Battery Charging.,2020-11-20 08:57:23.319,0
2472,Battery Discharging.,2020-11-20 08:57:23.319,1
2473,Battery MaxCapacity (mWh).,2020-11-20 08:57:23.319,69720
2474,Battery estimatedTime (Seconds).,2020-11-20 08:57:23.319,16378
2475,Battery Current Capacity (mWh),2020-11-20 08:57:23.319,55100
2476,Battery Voltage (mv),2020-11-20 08:57:23.319,16222
2477,Battery Rate (mW),2020-11-20 08:57:23.319,-10138
2478,Battery Tag,2020-11-20 08:57:53.250,5
2479,Battery Designed Capacity (mWh) ,2020-11-20 08:57:53.250,70000
2480,Battery Full Charged Capacity (mWh),2020-11-20 08:57:53.250,69720
2481,Battery Cycle Count,2020-11-20 08:57:53.250,12
2482,Battery Left (%).,2020-11-20 08:57:53.318,79
2483,Battery Flag,2020-11-20 08:57:53.318,1
2484,Battery Life Time (Seconds).,2020-11-20 08:57:53.318,16378
2485,Battery Charging.,2020-11-20 08:57:53.318,0
2486,Battery Discharging.,2020-11-20 08:57:53.318,1
2487,Battery MaxCapacity (mWh).,2020-11-20 08:57:53.318,69720
2488,Battery estimatedTime (Seconds).,2020-11-20 08:57:53.318,16378
2489,Battery Current Capacity (mWh),2020-11-20 08:57:53.318,55010
2490,Battery Voltage (mv),2020-11-20 08:57:53.318,16158
2491,Battery Rate (mW),2020-11-20 08:57:53.318,-10373
2492,Battery Tag,2020-11-20 08:58:23.250,5
2493,Battery Designed Capacity (mWh) ,2020-11-20 08:58:23.250,70000
2494,Battery Full Charged Capacity (mWh),2020-11-20 08:58:23.250,69720
2495,Battery Cycle Count,2020-11-20 08:58:23.250,12
2496,Battery Left (%).,2020-11-20 08:58:23.318,79
2497,Battery Flag,2020-11-20 08:58:23.318,1
2498,Battery Life Time (Seconds).,2020-11-20 08:58:23.318,16378
2499,Battery Charging.,2020-11-20 08:58:23.318,0
2500,Battery Discharging.,2020-11-20 08:58:23.318,1
2501,Battery MaxCapacity (mWh).,2020-11-20 08:58:23.318,69720
2502,Battery estimatedTime (Seconds).,2020-11-20 08:58:23.318,16378
2503,Battery Current Capacity (mWh),2020-11-20 08:58:23.318,54920
2504,Battery Voltage (mv),2020-11-20 08:58:23.318,16190
2505,Battery Rate (mW),2020-11-20 08:58:23.318,-10620
2506,Battery Tag,2020-11-20 08:58:53.250,5
2507,Battery Designed Capacity (mWh) ,2020-11-20 08:58:53.250,70000
2508,Battery Full Charged Capacity (mWh),2020-11-20 08:58:53.250,69720
2509,Battery Cycle Count,2020-11-20 08:58:53.250,12
2510,Battery Left (%).,2020-11-20 08:58:53.318,79
2511,Battery Flag,2020-11-20 08:58:53.318,1
2512,Battery Life Time (Seconds).,2020-11-20 08:58:53.318,16378
2513,Battery Charging.,2020-11-20 08:58:53.318,0
2514,Battery Discharging.,2020-11-20 08:58:53.318,1
2515,Battery MaxCapacity (mWh).,2020-11-20 08:58:53.318,69720
2516,Battery estimatedTime (Seconds).,2020-11-20 08:58:53.318,16378
2517,Battery Current Capacity (mWh),2020-11-20 08:58:53.318,54830
2518,Battery Voltage (mv),2020-11-20 08:58:53.318,16197
2519,Battery Rate (mW),2020-11-20 08:58:53.318,-10868
2520,Battery Tag,2020-11-20 08:59:23.250,5
2521,Battery Designed Capacity (mWh) ,2020-11-20 08:59:23.250,70000
2522,Battery Full Charged Capacity (mWh),2020-11-20 08:59:23.250,69720
2523,Battery Cycle Count,2020-11-20 08:59:23.250,12
2524,Battery Left (%).,2020-11-20 08:59:23.318,79
2525,Battery Flag,2020-11-20 08:59:23.318,1
2526,Battery Life Time (Seconds).,2020-11-20 08:59:23.318,16378
2527,Battery Charging.,2020-11-20 08:59:23.318,0
2528,Battery Discharging.,2020-11-20 08:59:23.318,1
2529,Battery MaxCapacity (mWh).,2020-11-20 08:59:23.318,69720
2530,Battery estimatedTime (Seconds).,2020-11-20 08:59:23.318,16378
2531,Battery Current Capacity (mWh),2020-11-20 08:59:23.318,54740
2532,Battery Voltage (mv),2020-11-20 08:59:23.318,16182
2533,Battery Rate (mW),2020-11-20 08:59:23.318,-10825
2534,Battery Tag,2020-11-20 08:59:53.249,5
2535,Battery Designed Capacity (mWh) ,2020-11-20 08:59:53.249,70000
2536,Battery Full Charged Capacity (mWh),2020-11-20 08:59:53.249,69720
2537,Battery Cycle Count,2020-11-20 08:59:53.249,12
2538,Battery Left (%).,2020-11-20 08:59:53.317,78
2539,Battery Flag,2020-11-20 08:59:53.317,1
2540,Battery Life Time (Seconds).,2020-11-20 08:59:53.317,18641
2541,Battery Charging.,2020-11-20 08:59:53.317,0
2542,Battery Discharging.,2020-11-20 08:59:53.317,1
2543,Battery MaxCapacity (mWh).,2020-11-20 08:59:53.317,69720
2544,Battery estimatedTime (Seconds).,2020-11-20 08:59:53.317,18641
2545,Battery Current Capacity (mWh),2020-11-20 08:59:53.317,54640
2546,Battery Voltage (mv),2020-11-20 08:59:53.317,16155
2547,Battery Rate (mW),2020-11-20 08:59:53.317,-10549
2548,Battery Tag,2020-11-20 09:00:23.249,5
2549,Battery Designed Capacity (mWh) ,2020-11-20 09:00:23.249,70000
2550,Battery Full Charged Capacity (mWh),2020-11-20 09:00:23.249,69720
2551,Battery Cycle Count,2020-11-20 09:00:23.249,12
2552,Battery Left (%).,2020-11-20 09:00:23.317,78
2553,Battery Flag,2020-11-20 09:00:23.317,1
2554,Battery Life Time (Seconds).,2020-11-20 09:00:23.317,18641
2555,Battery Charging.,2020-11-20 09:00:23.317,0
2556,Battery Discharging.,2020-11-20 09:00:23.317,1
2557,Battery MaxCapacity (mWh).,2020-11-20 09:00:23.317,69720
2558,Battery estimatedTime (Seconds).,2020-11-20 09:00:23.317,18641
2559,Battery Current Capacity (mWh),2020-11-20 09:00:23.317,54570
2560,Battery Voltage (mv),2020-11-20 09:00:23.317,16191
2561,Battery Rate (mW),2020-11-20 09:00:23.317,-10006
2562,Battery Tag,2020-11-20 09:00:53.249,5
2563,Battery Designed Capacity (mWh) ,2020-11-20 09:00:53.249,70000
2564,Battery Full Charged Capacity (mWh),2020-11-20 09:00:53.249,69720
2565,Battery Cycle Count,2020-11-20 09:00:53.249,12
2566,Battery Left (%).,2020-11-20 09:00:53.316,78
2567,Battery Flag,2020-11-20 09:00:53.316,1
2568,Battery Life Time (Seconds).,2020-11-20 09:00:53.316,18641
2569,Battery Charging.,2020-11-20 09:00:53.316,0
2570,Battery Discharging.,2020-11-20 09:00:53.316,1
2571,Battery MaxCapacity (mWh).,2020-11-20 09:00:53.316,69720
2572,Battery estimatedTime (Seconds).,2020-11-20 09:00:53.316,18641
2573,Battery Current Capacity (mWh),2020-11-20 09:00:53.316,54490
2574,Battery Voltage (mv),2020-11-20 09:00:53.316,16141
2575,Battery Rate (mW),2020-11-20 09:00:53.316,-10184
2576,Battery Tag,2020-11-20 09:01:53.249,5
2577,Battery Designed Capacity (mWh) ,2020-11-20 09:01:53.249,70000
2578,Battery Full Charged Capacity (mWh),2020-11-20 09:01:53.249,69720
2579,Battery Cycle Count,2020-11-20 09:01:53.249,12
2580,Battery Left (%).,2020-11-20 09:01:53.317,78
2581,Battery Flag,2020-11-20 09:01:53.317,1
2582,Battery Life Time (Seconds).,2020-11-20 09:01:53.317,18641
2583,Battery Charging.,2020-11-20 09:01:53.317,0
2584,Battery Discharging.,2020-11-20 09:01:53.317,1
2585,Battery MaxCapacity (mWh).,2020-11-20 09:01:53.317,69720
2586,Battery estimatedTime (Seconds).,2020-11-20 09:01:53.317,18641
2587,Battery Current Capacity (mWh),2020-11-20 09:01:53.317,54300
2588,Battery Voltage (mv),2020-11-20 09:01:53.317,16168
2589,Battery Rate (mW),2020-11-20 09:01:53.317,-10832
2590,Battery Tag,2020-11-20 09:02:23.248,5
2591,Battery Designed Capacity (mWh) ,2020-11-20 09:02:23.248,70000
2592,Battery Full Charged Capacity (mWh),2020-11-20 09:02:23.248,69720
2593,Battery Cycle Count,2020-11-20 09:02:23.248,12
2594,Battery Left (%).,2020-11-20 09:02:23.316,78
2595,Battery Flag,2020-11-20 09:02:23.316,1
2596,Battery Life Time (Seconds).,2020-11-20 09:02:23.316,18641
2597,Battery Charging.,2020-11-20 09:02:23.316,0
2598,Battery Discharging.,2020-11-20 09:02:23.316,1
2599,Battery MaxCapacity (mWh).,2020-11-20 09:02:23.316,69720
2600,Battery estimatedTime (Seconds).,2020-11-20 09:02:23.316,18641
2601,Battery Current Capacity (mWh),2020-11-20 09:02:23.316,54210
2602,Battery Voltage (mv),2020-11-20 09:02:23.316,16155
2603,Battery Rate (mW),2020-11-20 09:02:23.316,-10678
2604,Battery Tag,2020-11-20 09:03:23.248,5
2605,Battery Designed Capacity (mWh) ,2020-11-20 09:03:23.248,70000
2606,Battery Full Charged Capacity (mWh),2020-11-20 09:03:23.248,69720
2607,Battery Cycle Count,2020-11-20 09:03:23.248,12
2608,Battery Left (%).,2020-11-20 09:03:23.316,78
2609,Battery Flag,2020-11-20 09:03:23.316,1
2610,Battery Life Time (Seconds).,2020-11-20 09:03:23.316,18641
2611,Battery Charging.,2020-11-20 09:03:23.316,0
2612,Battery Discharging.,2020-11-20 09:03:23.316,1
2613,Battery MaxCapacity (mWh).,2020-11-20 09:03:23.316,69720
2614,Battery estimatedTime (Seconds).,2020-11-20 09:03:23.316,18641
2615,Battery Current Capacity (mWh),2020-11-20 09:03:23.316,54040
2616,Battery Voltage (mv),2020-11-20 09:03:23.316,16174
2617,Battery Rate (mW),2020-11-20 09:03:23.316,-10157
2618,Battery Tag,2020-11-20 09:03:53.247,5
2619,Battery Designed Capacity (mWh) ,2020-11-20 09:03:53.247,70000
2620,Battery Full Charged Capacity (mWh),2020-11-20 09:03:53.247,69720
2621,Battery Cycle Count,2020-11-20 09:03:53.247,12
2622,Battery Left (%).,2020-11-20 09:03:53.315,77
2623,Battery Flag,2020-11-20 09:03:53.315,1
2624,Battery Life Time (Seconds).,2020-11-20 09:03:53.315,19553
2625,Battery Charging.,2020-11-20 09:03:53.315,0
2626,Battery Discharging.,2020-11-20 09:03:53.315,1
2627,Battery MaxCapacity (mWh).,2020-11-20 09:03:53.315,69720
2628,Battery estimatedTime (Seconds).,2020-11-20 09:03:53.315,19553
2629,Battery Current Capacity (mWh),2020-11-20 09:03:53.315,53970
2630,Battery Voltage (mv),2020-11-20 09:03:53.315,16165
2631,Battery Rate (mW),2020-11-20 09:03:53.315,-9779
2632,Battery Tag,2020-11-20 09:04:53.246,5
2633,Battery Designed Capacity (mWh) ,2020-11-20 09:04:53.246,70000
2634,Battery Full Charged Capacity (mWh),2020-11-20 09:04:53.246,69720
2635,Battery Cycle Count,2020-11-20 09:04:53.246,12
2636,Battery Left (%).,2020-11-20 09:04:53.314,77
2637,Battery Flag,2020-11-20 09:04:53.314,1
2638,Battery Life Time (Seconds).,2020-11-20 09:04:53.314,19553
2639,Battery Charging.,2020-11-20 09:04:53.314,0
2640,Battery Discharging.,2020-11-20 09:04:53.314,1
2641,Battery MaxCapacity (mWh).,2020-11-20 09:04:53.314,69720
2642,Battery estimatedTime (Seconds).,2020-11-20 09:04:53.314,19553
2643,Battery Current Capacity (mWh),2020-11-20 09:04:53.314,53800
2644,Battery Voltage (mv),2020-11-20 09:04:53.314,16155
2645,Battery Rate (mW),2020-11-20 09:04:53.314,-9208
2646,Battery Tag,2020-11-20 09:05:23.245,5
2647,Battery Designed Capacity (mWh) ,2020-11-20 09:05:23.245,70000
2648,Battery Full Charged Capacity (mWh),2020-11-20 09:05:23.245,69720
2649,Battery Cycle Count,2020-11-20 09:05:23.245,12
2650,Battery Left (%).,2020-11-20 09:05:23.319,77
2651,Battery Flag,2020-11-20 09:05:23.319,1
2652,Battery Life Time (Seconds).,2020-11-20 09:05:23.319,19553
2653,Battery Charging.,2020-11-20 09:05:23.319,0
2654,Battery Discharging.,2020-11-20 09:05:23.319,1
2655,Battery MaxCapacity (mWh).,2020-11-20 09:05:23.319,69720
2656,Battery estimatedTime (Seconds).,2020-11-20 09:05:23.319,19553
2657,Battery Current Capacity (mWh),2020-11-20 09:05:23.319,53720
2658,Battery Voltage (mv),2020-11-20 09:05:23.319,16142
2659,Battery Rate (mW),2020-11-20 09:05:23.319,-9184
2660,Battery Tag,2020-11-20 09:05:53.245,5
2661,Battery Designed Capacity (mWh) ,2020-11-20 09:05:53.245,70000
2662,Battery Full Charged Capacity (mWh),2020-11-20 09:05:53.245,69720
2663,Battery Cycle Count,2020-11-20 09:05:53.245,12
2664,Battery Left (%).,2020-11-20 09:05:53.312,77
2665,Battery Flag,2020-11-20 09:05:53.312,1
2666,Battery Life Time (Seconds).,2020-11-20 09:05:53.312,19553
2667,Battery Charging.,2020-11-20 09:05:53.312,0
2668,Battery Discharging.,2020-11-20 09:05:53.312,1
2669,Battery MaxCapacity (mWh).,2020-11-20 09:05:53.312,69720
2670,Battery estimatedTime (Seconds).,2020-11-20 09:05:53.312,19553
2671,Battery Current Capacity (mWh),2020-11-20 09:05:53.312,53650
2672,Battery Voltage (mv),2020-11-20 09:05:53.312,16165
2673,Battery Rate (mW),2020-11-20 09:05:53.312,-8890
2674,Battery Tag,2020-11-20 09:06:23.244,5
2675,Battery Designed Capacity (mWh) ,2020-11-20 09:06:23.244,70000
2676,Battery Full Charged Capacity (mWh),2020-11-20 09:06:23.244,69720
2677,Battery Cycle Count,2020-11-20 09:06:23.244,12
2678,Battery Left (%).,2020-11-20 09:06:23.312,77
2679,Battery Flag,2020-11-20 09:06:23.312,1
2680,Battery Life Time (Seconds).,2020-11-20 09:06:23.312,19553
2681,Battery Charging.,2020-11-20 09:06:23.312,0
2682,Battery Discharging.,2020-11-20 09:06:23.312,1
2683,Battery MaxCapacity (mWh).,2020-11-20 09:06:23.312,69720
2684,Battery estimatedTime (Seconds).,2020-11-20 09:06:23.312,19553
2685,Battery Current Capacity (mWh),2020-11-20 09:06:23.312,53570
2686,Battery Voltage (mv),2020-11-20 09:06:23.312,16124
2687,Battery Rate (mW),2020-11-20 09:06:23.312,-10029
2688,Battery Tag,2020-11-20 09:06:53.244,5
2689,Battery Designed Capacity (mWh) ,2020-11-20 09:06:53.244,70000
2690,Battery Full Charged Capacity (mWh),2020-11-20 09:06:53.244,69720
2691,Battery Cycle Count,2020-11-20 09:06:53.244,12
2692,Battery Left (%).,2020-11-20 09:06:53.319,77
2693,Battery Flag,2020-11-20 09:06:53.319,1
2694,Battery Life Time (Seconds).,2020-11-20 09:06:53.319,19553
2695,Battery Charging.,2020-11-20 09:06:53.319,0
2696,Battery Discharging.,2020-11-20 09:06:53.319,1
2697,Battery MaxCapacity (mWh).,2020-11-20 09:06:53.319,69720
2698,Battery estimatedTime (Seconds).,2020-11-20 09:06:53.319,19553
2699,Battery Current Capacity (mWh),2020-11-20 09:06:53.319,53470
2700,Battery Voltage (mv),2020-11-20 09:06:53.319,16098
2701,Battery Rate (mW),2020-11-20 09:06:53.319,-11638
2702,Battery Tag,2020-11-20 09:07:23.244,5
2703,Battery Designed Capacity (mWh) ,2020-11-20 09:07:23.244,70000
2704,Battery Full Charged Capacity (mWh),2020-11-20 09:07:23.244,69720
2705,Battery Cycle Count,2020-11-20 09:07:23.244,12
2706,Battery Left (%).,2020-11-20 09:07:23.312,77
2707,Battery Flag,2020-11-20 09:07:23.312,1
2708,Battery Life Time (Seconds).,2020-11-20 09:07:23.312,19553
2709,Battery Charging.,2020-11-20 09:07:23.312,0
2710,Battery Discharging.,2020-11-20 09:07:23.312,1
2711,Battery MaxCapacity (mWh).,2020-11-20 09:07:23.312,69720
2712,Battery estimatedTime (Seconds).,2020-11-20 09:07:23.312,19553
2713,Battery Current Capacity (mWh),2020-11-20 09:07:23.312,53370
2714,Battery Voltage (mv),2020-11-20 09:07:23.312,16080
2715,Battery Rate (mW),2020-11-20 09:07:23.312,-12413
2716,Battery Tag,2020-11-20 09:07:53.244,5
2717,Battery Designed Capacity (mWh) ,2020-11-20 09:07:53.244,70000
2718,Battery Full Charged Capacity (mWh),2020-11-20 09:07:53.244,69720
2719,Battery Cycle Count,2020-11-20 09:07:53.244,12
2720,Battery Left (%).,2020-11-20 09:07:53.312,76
2721,Battery Flag,2020-11-20 09:07:53.312,1
2722,Battery Life Time (Seconds).,2020-11-20 09:07:53.312,17658
2723,Battery Charging.,2020-11-20 09:07:53.312,0
2724,Battery Discharging.,2020-11-20 09:07:53.312,1
2725,Battery MaxCapacity (mWh).,2020-11-20 09:07:53.312,69720
2726,Battery estimatedTime (Seconds).,2020-11-20 09:07:53.312,17658
2727,Battery Current Capacity (mWh),2020-11-20 09:07:53.312,53280
2728,Battery Voltage (mv),2020-11-20 09:07:53.312,16132
2729,Battery Rate (mW),2020-11-20 09:07:53.312,-9824
2730,Battery Tag,2020-11-20 09:08:23.243,5
2731,Battery Designed Capacity (mWh) ,2020-11-20 09:08:23.243,70000
2732,Battery Full Charged Capacity (mWh),2020-11-20 09:08:23.243,69720
2733,Battery Cycle Count,2020-11-20 09:08:23.243,12
2734,Battery Left (%).,2020-11-20 09:08:23.311,76
2735,Battery Flag,2020-11-20 09:08:23.311,1
2736,Battery Life Time (Seconds).,2020-11-20 09:08:23.311,17658
2737,Battery Charging.,2020-11-20 09:08:23.311,0
2738,Battery Discharging.,2020-11-20 09:08:23.311,1
2739,Battery MaxCapacity (mWh).,2020-11-20 09:08:23.311,69720
2740,Battery estimatedTime (Seconds).,2020-11-20 09:08:23.311,17658
2741,Battery Current Capacity (mWh),2020-11-20 09:08:23.311,53200
2742,Battery Voltage (mv),2020-11-20 09:08:23.311,16133
2743,Battery Rate (mW),2020-11-20 09:08:23.311,-9147
2744,Battery Tag,2020-11-20 09:08:53.242,5
2745,Battery Designed Capacity (mWh) ,2020-11-20 09:08:53.242,70000
2746,Battery Full Charged Capacity (mWh),2020-11-20 09:08:53.242,69720
2747,Battery Cycle Count,2020-11-20 09:08:53.242,12
2748,Battery Left (%).,2020-11-20 09:08:53.310,76
2749,Battery Flag,2020-11-20 09:08:53.310,1
2750,Battery Life Time (Seconds).,2020-11-20 09:08:53.310,17658
2751,Battery Charging.,2020-11-20 09:08:53.310,0
2752,Battery Discharging.,2020-11-20 09:08:53.310,1
2753,Battery MaxCapacity (mWh).,2020-11-20 09:08:53.310,69720
2754,Battery estimatedTime (Seconds).,2020-11-20 09:08:53.310,17658
2755,Battery Current Capacity (mWh),2020-11-20 09:08:53.310,53110
2756,Battery Voltage (mv),2020-11-20 09:08:53.310,16097
2757,Battery Rate (mW),2020-11-20 09:08:53.310,-10189
2758,Battery Tag,2020-11-20 09:09:23.241,5
2759,Battery Designed Capacity (mWh) ,2020-11-20 09:09:23.241,70000
2760,Battery Full Charged Capacity (mWh),2020-11-20 09:09:23.241,69720
2761,Battery Cycle Count,2020-11-20 09:09:23.241,12
2762,Battery Left (%).,2020-11-20 09:09:23.310,76
2763,Battery Flag,2020-11-20 09:09:23.310,1
2764,Battery Life Time (Seconds).,2020-11-20 09:09:23.310,17658
2765,Battery Charging.,2020-11-20 09:09:23.310,0
2766,Battery Discharging.,2020-11-20 09:09:23.310,1
2767,Battery MaxCapacity (mWh).,2020-11-20 09:09:23.310,69720
2768,Battery estimatedTime (Seconds).,2020-11-20 09:09:23.310,17658
2769,Battery Current Capacity (mWh),2020-11-20 09:09:23.310,53020
2770,Battery Voltage (mv),2020-11-20 09:09:23.310,16112
2771,Battery Rate (mW),2020-11-20 09:09:23.310,-10762
2772,Battery Tag,2020-11-20 09:10:23.241,5
2773,Battery Designed Capacity (mWh) ,2020-11-20 09:10:23.241,70000
2774,Battery Full Charged Capacity (mWh),2020-11-20 09:10:23.241,69720
2775,Battery Cycle Count,2020-11-20 09:10:23.241,12
2776,Battery Left (%).,2020-11-20 09:10:23.309,76
2777,Battery Flag,2020-11-20 09:10:23.309,1
2778,Battery Life Time (Seconds).,2020-11-20 09:10:23.309,17658
2779,Battery Charging.,2020-11-20 09:10:23.309,0
2780,Battery Discharging.,2020-11-20 09:10:23.309,1
2781,Battery MaxCapacity (mWh).,2020-11-20 09:10:23.309,69720
2782,Battery estimatedTime (Seconds).,2020-11-20 09:10:23.309,17658
2783,Battery Current Capacity (mWh),2020-11-20 09:10:23.309,52840
2784,Battery Voltage (mv),2020-11-20 09:10:23.309,16053
2785,Battery Rate (mW),2020-11-20 09:10:23.309,-11381
2786,Battery Tag,2020-11-20 09:10:53.241,5
2787,Battery Designed Capacity (mWh) ,2020-11-20 09:10:53.241,70000
2788,Battery Full Charged Capacity (mWh),2020-11-20 09:10:53.241,69720
2789,Battery Cycle Count,2020-11-20 09:10:53.241,12
2790,Battery Left (%).,2020-11-20 09:10:53.309,76
2791,Battery Flag,2020-11-20 09:10:53.309,1
2792,Battery Life Time (Seconds).,2020-11-20 09:10:53.309,17658
2793,Battery Charging.,2020-11-20 09:10:53.309,0
2794,Battery Discharging.,2020-11-20 09:10:53.309,1
2795,Battery MaxCapacity (mWh).,2020-11-20 09:10:53.309,69720
2796,Battery estimatedTime (Seconds).,2020-11-20 09:10:53.309,17658
2797,Battery Current Capacity (mWh),2020-11-20 09:10:53.309,52750
2798,Battery Voltage (mv),2020-11-20 09:10:53.309,16071
2799,Battery Rate (mW),2020-11-20 09:10:53.309,-10976
2800,Battery Tag,2020-11-20 09:11:23.240,5
2801,Battery Designed Capacity (mWh) ,2020-11-20 09:11:23.240,70000
2802,Battery Full Charged Capacity (mWh),2020-11-20 09:11:23.240,69720
2803,Battery Cycle Count,2020-11-20 09:11:23.240,12
2804,Battery Left (%).,2020-11-20 09:11:23.308,76
2805,Battery Flag,2020-11-20 09:11:23.308,1
2806,Battery Life Time (Seconds).,2020-11-20 09:11:23.308,17658
2807,Battery Charging.,2020-11-20 09:11:23.308,0
2808,Battery Discharging.,2020-11-20 09:11:23.308,1
2809,Battery MaxCapacity (mWh).,2020-11-20 09:11:23.308,69720
2810,Battery estimatedTime (Seconds).,2020-11-20 09:11:23.308,17658
2811,Battery Current Capacity (mWh),2020-11-20 09:11:23.308,52650
2812,Battery Voltage (mv),2020-11-20 09:11:23.308,15974
2813,Battery Rate (mW),2020-11-20 09:11:23.308,-12108
2814,Battery Tag,2020-11-20 09:11:53.240,5
2815,Battery Designed Capacity (mWh) ,2020-11-20 09:11:53.240,70000
2816,Battery Full Charged Capacity (mWh),2020-11-20 09:11:53.240,69720
2817,Battery Cycle Count,2020-11-20 09:11:53.240,12
2818,Battery Left (%).,2020-11-20 09:11:53.308,75
2819,Battery Flag,2020-11-20 09:11:53.308,1
2820,Battery Life Time (Seconds).,2020-11-20 09:11:53.308,16012
2821,Battery Charging.,2020-11-20 09:11:53.308,0
2822,Battery Discharging.,2020-11-20 09:11:53.308,1
2823,Battery MaxCapacity (mWh).,2020-11-20 09:11:53.308,69720
2824,Battery estimatedTime (Seconds).,2020-11-20 09:11:53.308,16012
2825,Battery Current Capacity (mWh),2020-11-20 09:11:53.308,52550
2826,Battery Voltage (mv),2020-11-20 09:11:53.308,16075
2827,Battery Rate (mW),2020-11-20 09:11:53.308,-11397
2828,Battery Tag,2020-11-20 09:12:53.239,5
2829,Battery Designed Capacity (mWh) ,2020-11-20 09:12:53.239,70000
2830,Battery Full Charged Capacity (mWh),2020-11-20 09:12:53.239,69720
2831,Battery Cycle Count,2020-11-20 09:12:53.239,12
2832,Battery Left (%).,2020-11-20 09:12:53.307,75
2833,Battery Flag,2020-11-20 09:12:53.307,1
2834,Battery Life Time (Seconds).,2020-11-20 09:12:53.307,16012
2835,Battery Charging.,2020-11-20 09:12:53.307,0
2836,Battery Discharging.,2020-11-20 09:12:53.307,1
2837,Battery MaxCapacity (mWh).,2020-11-20 09:12:53.307,69720
2838,Battery estimatedTime (Seconds).,2020-11-20 09:12:53.307,16012
2839,Battery Current Capacity (mWh),2020-11-20 09:12:53.307,52380
2840,Battery Voltage (mv),2020-11-20 09:12:53.307,16063
2841,Battery Rate (mW),2020-11-20 09:12:53.307,-10665
2842,Battery Tag,2020-11-20 09:13:23.238,5
2843,Battery Designed Capacity (mWh) ,2020-11-20 09:13:23.238,70000
2844,Battery Full Charged Capacity (mWh),2020-11-20 09:13:23.238,69720
2845,Battery Cycle Count,2020-11-20 09:13:23.238,12
2846,Battery Left (%).,2020-11-20 09:13:23.306,75
2847,Battery Flag,2020-11-20 09:13:23.306,1
2848,Battery Life Time (Seconds).,2020-11-20 09:13:23.306,16012
